"ClaimId","CustomerClaimDefectWeight"
1519,"1100"
1520,"29620"
1521,"1399"
1522,"534"
1523,"181"
1524,"3571"
1525,"50"
1526,"1274"
1527,"1044"
1528,"812"
1529,"214"
1530,"148"
1531,"68"
1532,"106"
1533,"174"
1534,"66"
1535,"144"
1536,"170"
1537,"990"
1538,"4164"
1539,"174"
1540,"8143"
1541,"238"
1542,"1155"
1543,"671"
1544,"0"
1545,"2202"
1546,"0"
1547,"2310"
1548,"2147"
1549,"1327"
1550,"0"
1551,"6570"
1552,"767"
1553,"432"
1554,"3437"
1555,"699"
1556,"4597"
1557,"4928"
1558,"216"
1559,"0"
1560,"0"
1561,"4804"
1562,"682"
1563,"1150"
1564,"6840"
1565,"0"
1566,"3651"
1567,"121"
1568,"3869"
1569,"1135"
1570,"555"
1571,"52"
1572,"1512"
1573,"2839"
1574,"3780"
1575,"16370"
1576,"1560"
1577,"145"
1578,"1549"
1579,"1485"
1580,"5040"
1581,"0"
1582,"935"
1583,"4321"
1584,"585"
1585,"4105"
1586,"19910"
1587,"3150"
1588,"1134"
1589,"883"
1590,"1429"
1591,"1048"
1592,"4864"
1593,"2861"
1594,"1550"
1595,"12980"
1596,"2496"
1597,"2266"
1598,"6308"
1599,"4480"
1600,"0"
1601,"775"
1602,"1978"
1603,"0"
1604,"1544"
1605,"7111"
1606,"1544"
1607,"1965"
1608,"403"
1609,"3088"
1610,"1016"
1611,"2702"
1612,"4365"
1613,"9033"
1614,"100"
1615,"2458"
1616,"600"
1617,"1158"
1618,"942"
1619,"1203"
1620,"1158"
1621,"2385"
1622,"2555"
1623,"2896"
1624,"1704"
1625,"1289"
1626,"945"
1627,"1658"
1628,"3181"
1629,"7128"
1630,"683"
1631,"3281"
1632,"4919"
1633,"1158"
1634,"10045"
1635,"1158"
1636,"0"
1637,"461"
1638,"0"
1639,"1412"
1640,"0"
1641,"1465"
1642,"1151"
1643,"656"
1644,"3148"
1645,"15005"
1646,"2933"
1647,"1642"
1648,"1157"
1649,"2890"
1650,"938"
1651,"1835"
1652,"1689"
1653,"3000"
1654,"2129"
1655,"1284"
1656,"1665"
1657,"2821"
1658,"1953"
1659,"2560"
1660,"1953"
1661,"1467"
1662,"1796"
1663,"1816"
1664,"14514"
1665,"4082"
1666,"0"
1667,"630"
1668,"2780"
1669,"660"
1670,"865"
1671,"3040"
1672,"7720"
1673,"3115"
1674,"12399"
1675,"5618"
1676,"916"
1677,"708"
1678,"637"
1679,"0"
1680,"776"
1681,"484"
1682,"1638"
1683,"405"
1684,"1254"
1685,"626"
1686,"2950"
1687,"2679"
1688,"1544"
1689,"1544"
1690,"772"
1691,"772"
1692,"9250"
1693,"600"
1694,"405"
1695,"534"
1696,"1593"
1697,"899"
1698,"772"
1699,"1941"
1700,"1281"
1701,"1259"
1702,"1104"
1703,"3981"
1704,"7270"
1705,"14890"
1706,"1110"
1707,"2847"
1708,"795"
1709,"1291"
1710,"2750"
1711,"1294"
1712,"999"
1713,"2700"
1714,"721"
1715,"7461"
1716,"5341"
1717,"14326"
1718,"1915"
1719,"3528"
1720,"0"
1721,"3990"
1722,"2093"
1723,"4624"
1724,"2570"
1725,"1800"
1726,"1154"
1727,"2248"
1728,"1520"
1729,"1630"
1730,"1030"
1731,"650"
1732,"1169"
1733,"629"
1734,"786"
1735,"2681"
1736,"1469"
1737,"4231"
1738,"4030"
